playlist,track_name,artists,popularity,duracao_min,instrumentalness,tempo,danceability,liveness,valence,is_acoustic
PL1,YKWIM?,Yot Club,84,3.55,0.873,123.7,0.372,0.287,0.228,False
PL1,Chamber Of Reflection,Mac DeMarco,82,3.86,0.914,131.0,0.538,0.102,0.506,False
PL1,Alien Blues,Vundabar,82,2.6,0.908,82.3,0.467,0.088,0.433,False
PL1,Levels - Radio Edit,Avicii,79,3.33,0.828,126.0,0.584,0.309,0.464,False
PL1,K.,Cigarettes After Sex,78,5.33,0.846,93.7,0.454,0.137,0.327,False
PL1,Sunsetz,Cigarettes After Sex,78,3.59,0.795,75.4,0.405,0.097,0.131,False
PL1,Shootout,Izzamuzzic;Julien Marchal,78,4.92,0.906,87.0,0.663,0.109,0.553,False
PL1,i was all over her,salvia palth,77,2.69,0.853,104.6,0.529,0.116,0.06,False
PL1,Losing Interest,itssvd;Shiloh Dynasty,76,2.01,0.87,111.9,0.753,0.122,0.506,False
PL1,Fed Up,Ghostemane,76,2.53,0.695,115.1,0.849,0.147,0.068,False
PL2,Unholy (feat. Kim Petras),Sam Smith;Kim Petras,100,2.62,0.0,131.1,0.714,0.266,0.238,False
PL2,"Quevedo: Bzrp Music Sessions, Vol. 52",Bizarrap;Quevedo,99,3.32,0.033,128.0,0.621,0.23,0.55,False
PL2,La Bachata,Manuel Turizo,98,2.71,0.0,125.0,0.835,0.218,0.85,False
PL2,I'm Good (Blue),David Guetta;Bebe Rexha,98,2.92,0.0,128.0,0.561,0.371,0.304,False
PL2,I Ain't Worried,OneRepublic,96,2.47,0.001,140.0,0.704,0.055,0.825,False
PL2,As It Was,Harry Styles,95,2.79,0.001,173.9,0.52,0.311,0.662,False
PL2,Glimpse of Us,Joji,94,3.89,0.0,169.9,0.44,0.141,0.268,False
PL2,Another Love,Tom Odell,93,4.07,0.0,122.8,0.445,0.094,0.131,False
PL2,Neverita,Bad Bunny,93,2.89,0.0,122.0,0.876,0.143,0.428,False
PL2,Sweater Weather,The Neighbourhood,93,4.01,0.018,124.1,0.612,0.101,0.398,False
PL2,Super Freaky Girl,Nicki Minaj,92,2.85,0.0,133.0,0.95,0.309,0.912,False
PL3,Me Porto Bonito,Bad Bunny;Chencho Corleone,97,2.98,0.0,92.0,0.911,0.093,0.425,False
PL3,Hold On,Chord Overstreet,82,3.31,0.0,119.9,0.618,0.083,0.167,True
PL3,I'm Yours,Jason Mraz,80,4.05,0.0,151.0,0.703,0.097,0.712,True
PL3,Wish You Were Here,Pink Floyd,77,5.58,0.011,122.9,0.481,0.832,0.375,False
PL3,Before I Forget,Slipknot,77,4.64,0.0,134.7,0.291,0.886,0.348,False
PL3,Pump It Louder,Tiësto;Black Eyed Peas,76,2.64,0.0,126.0,0.66,0.834,0.543,False
PL3,Pano,Zack Tabudlo,75,4.24,0.015,174.8,0.375,0.191,0.415,True
PL3,Give Me Your Forever,Zack Tabudlo,74,4.08,0.0,99.9,0.627,0.093,0.301,True
PL3,Call on Me - Radio Mix,Eric Prydz,74,2.86,0.001,126.3,0.597,0.839,0.447,False
PL4,Pretty Fly (For A White Guy),The Offspring,75,3.14,0.0,143.4,0.723,0.072,0.963,False
PL4,Hands Up - Single Version,Ottawan,66,3.48,0.0,123.3,0.888,0.375,0.992,False
PL4,Departure Lofi (Hunter X Hunter),Kato,57,1.39,0.901,56.5,0.29,0.098,0.13,False
PL4,Dos Veces,David Bisbal;Luis Fonsi,55,2.42,0.0,177.8,0.666,0.127,0.715,False
PL4,我愛的人,Jordan Chan,48,4.44,0.0,131.7,0.551,0.096,0.172,False
PL4,Fire Truck,Pinkfong,43,1.25,0.0,131.0,0.687,0.355,0.831,False
PL4,Los Tres De Zacatecas,Banda Autentica de Jerez,41,1.79,0.0,119.9,0.764,0.058,0.99,False
PL4,Tornavida,Defkhan,39,2.87,0.0,92.0,0.691,0.093,0.762,False
PL4,Roll Your Hands,Debbie Doo,32,1.21,0.0,155.9,0.741,0.179,0.993,False
PL4,Zuipen,Lawineboys,30,2.67,0.0,122.0,0.849,0.299,0.993,False
PL4,TROPA DA MAINSTREET SO TEM MALVADAO,mc jhenny;DJ Ruan da VK;Rafael Foxx;IURY FERNANDES,22,1.96,0.0,149.9,0.893,0.02,0.989,False
PL4,I Like Pencils,Cody;Heart;Mr. Primm;Scatter;K.Flay,9,1.6,0.0,105.0,0.962,0.1,0.992,False
PL4,Tell Me Now,Apache Indian,0,4.23,0.0,137.0,0.718,0.078,0.991,False
